Instance Name, CC2 Result, CC2 (Concurrent Enabled) Result
./nestedMerge/EQ_oddNEQ_LoopUnreach20/libA , not equiv; 0.472700, not equiv; 0.454300
./nestedMerge/EQ_oddNEQ_getSign/libA , not equiv; 0.432100, not equiv; 0.437400
./nestedMerge/EQ_oneBoundEQ_LoopMult20/libA , equiv; 1.087300, equiv; 1.451200
./nestedMerge/EQ_oneBoundEQ_UnchLoop/libA , equiv; 0.298800, equiv; 0.421600
./nestedMerge/EQ_oneBoundEQ_odd/libA , equiv; 24.086600, equiv; 25.848500
./nestedMerge/EQ_oneBoundEQ_pos/libA , equiv; 26.613000, equiv; 27.178400
./nestedMerge/EQ_oneBoundEQ_pos2/libA , equiv; 0.420200, equiv; 0.610200
./nestedMerge/EQ_oneBoundEXTRA_ultra_prime_sum/libA , equiv; 158.173700, equiv; 83.403400
./nestedMerge/EQ_oneEQ_LoopMult20/libA , equiv; 2.543500, equiv; 2.937200
./nestedMerge/EQ_oneEQ_UnchLoop/libA , equiv; 0.225200, equiv; 0.322900
./nestedMerge/EQ_oneEQ_odd/libA , equiv; 13.662600, equiv; 14.231900
./nestedMerge/EQ_oneEQ_pos/libA , equiv; 14.361500, equiv; 15.051100
./nestedMerge/EQ_oneEQ_pos2/libA , equiv; 0.361400, equiv; 0.500400
./nestedMerge/EQ_oneEXTRA_ultra_prime_sum/libA , equiv; 157.015500, equiv; 100.181700
./nestedMerge/EQ_oneN2EQ_LoopMult20/libA , equiv; 2.531700, equiv; 2.910600
./nestedMerge/EQ_oneN2EQ_UnchLoop/libA , equiv; 0.228600, equiv; 0.373800
./nestedMerge/EQ_oneN2EQ_odd/libA , equiv; 13.693200, equiv; 14.214700
./nestedMerge/EQ_oneN2EQ_pos/libA , equiv; 14.404700, equiv; 15.107100
./nestedMerge/EQ_oneN2EQ_pos2/libA , equiv; 0.363500, equiv; 0.533900
./nestedMerge/EQ_oneN2EXTRA_ultra_prime_sum/libA , equiv; 145.641100, equiv; 88.983600
./nestedMerge/EQ_pos2EQ_Add/libA , equiv; 0.263100, equiv; 0.359000
./nestedMerge/EQ_pos2EQ_Const/libA , equiv; 0.200300, equiv; 0.351500
./nestedMerge/EQ_pos2EQ_LoopMult20/libA , equiv; 0.455900, equiv; 0.724800
./nestedMerge/EQ_pos2EQ_LoopUnreach20/libA , equiv; 0.431000, equiv; 0.754500
./nestedMerge/EQ_pos2EQ_UnchLoop/libA , equiv; 0.227600, equiv; 0.387300
./nestedMerge/EQ_pos2EQ_divide/libA , equiv; 0.277300, equiv; 0.402500
./nestedMerge/EQ_pos2EQ_getSign2/libA , equiv; 0.416400, equiv; 0.693300
./nestedMerge/EQ_pos2EQ_is_prime1/libA , equiv; 0.396900, equiv; 0.732100
./nestedMerge/EQ_pos2EQ_is_prime2/libA , equiv; 0.561500, equiv; 0.874400
./nestedMerge/EQ_pos2EQ_is_prime3/libA , equiv; 3.055600, equiv; 3.665300
./nestedMerge/EQ_pos2EQ_ltfive/libA , not equiv; 0.903100, not equiv; 1.482000
./nestedMerge/EQ_pos2EQ_ltfiveBound/libA , equiv; 0.731500, equiv; 1.072500
./nestedMerge/EQ_pos2EQ_multiple/libA , not equiv; 1.046100, not equiv; 1.617100
./nestedMerge/EQ_pos2EQ_multipleBound/libA , equiv; 0.733100, equiv; 1.091100
./nestedMerge/EQ_pos2EQ_odd/libA , equiv; 29.576400, equiv; 30.817100
./nestedMerge/EQ_pos2EQ_one/libA , not equiv; 0.787800, not equiv; 1.356900
./nestedMerge/EQ_pos2EQ_oneBound/libA , equiv; 0.631600, equiv; 0.976800
./nestedMerge/EQ_pos2EQ_oneN2/libA , not equiv; 0.796900, not equiv; 1.390300
./nestedMerge/EQ_pos2EQ_pos/libA , equiv; 22.850500, equiv; 24.229600
./nestedMerge/EQ_pos2EQ_pos2/libA , equiv; 0.374300, equiv; 0.530900
./nestedMerge/EQ_pos2EQ_pos3/libA , equiv; 0.281200, equiv; 0.417400
./nestedMerge/EQ_pos2EXTRA_ultra_prime_sum/libA , equiv; 145.344600, equiv; 83.329700
./nestedMerge/EQ_pos2NEQ_LoopMult20/libA , equiv; 0.441400, equiv; 0.750100
./nestedMerge/EQ_pos2NEQ_LoopUnreach20/libA , equiv; 0.422000, equiv; 0.771000
./nestedMerge/EQ_pos2NEQ_getSign/libA , not equiv; 0.592600, not equiv; 1.136400
./nestedMerge/EQ_pos3EQ_LoopMult20/libA , equiv; 0.914100, equiv; 0.903900
./nestedMerge/EQ_pos3EQ_UnchLoop/libA , equiv; 40.265200, equiv; 40.293600
./nestedMerge/EQ_pos3EQ_odd/libA , equiv; 11.492400, equiv; 11.523900
./nestedMerge/EQ_pos3EQ_pos/libA , equiv; 22.103200, equiv; 23.870800
./nestedMerge/EQ_pos3EQ_pos2/libA , equiv; 0.311300, equiv; 0.428400
