Instance Name, CC2 Result, CLEVER Result, Reve Result
./multLibs/EQ_multipleBound/14 , equiv; 27.370000, timeout; 300.000000, unknown; 132.090000
./multLibs/EQ_multipleBound/15 , equiv; 25.750000, timeout; 300.000000, unknown; 149.690000
./multLibs/EQ_multipleBound/2 , equiv; 1.050000, equiv; 0.690000, equiv; 0.060000
./multLibs/EQ_multipleBound/3 , equiv; 1.520000, equiv; 0.910000, equiv; 0.220000
./multLibs/EQ_multipleBound/4 , equiv; 2.030000, equiv; 1.250000, equiv; 1.880000
./multLibs/EQ_multipleBound/5 , equiv; 2.680000, equiv; 1.480000, equiv; 24.080000
./multLibs/EQ_multipleBound/6 , equiv; 3.440000, equiv; 2.020000, timeout; 300.000000
./multLibs/EQ_multipleBound/7 , equiv; 4.840000, equiv; 3.230000, timeout; 300.000000
./multLibs/EQ_multipleBound/8 , equiv; 8.510000, equiv; 7.380000, unknown; 172.490000
./multLibs/EQ_multipleBound/9 , equiv; 15.820000, equiv; 22.870000, unknown; 118.290000
./multLibs/EQ_odd/1 , equiv; 13.060000, timeout; 300.000000, unknown; 0.020000
./multLibs/EQ_odd/10 , timeout; 300.000000, timeout; 300.000000, unknown; 0.030000
./multLibs/EQ_odd/11 , timeout; 300.000000, timeout; 300.000000, unknown; 0.030000
./multLibs/EQ_odd/12 , timeout; 300.000000, timeout; 300.000000, unknown; 0.030000
./multLibs/EQ_odd/13 , timeout; 300.000000, timeout; 300.000000, unknown; 0.030000
./multLibs/EQ_odd/14 , timeout; 300.000000, timeout; 300.000000, unknown; 0.030000
./multLibs/EQ_odd/15 , timeout; 300.000000, timeout; 300.000000, unknown; 0.030000
./multLibs/EQ_odd/2 , equiv; 13.590000, timeout; 300.000000, unknown; 0.020000
./multLibs/EQ_odd/3 , equiv; 18.150000, timeout; 300.000000, unknown; 0.020000
./multLibs/EQ_odd/4 , equiv; 24.100000, timeout; 300.000000, unknown; 0.020000
./multLibs/EQ_odd/5 , equiv; 29.960000, timeout; 300.000000, unknown; 0.020000
./multLibs/EQ_odd/6 , equiv; 45.760000, timeout; 300.000000, unknown; 0.020000
./multLibs/EQ_odd/7 , timeout; 300.000000, timeout; 300.000000, unknown; 0.020000
./multLibs/EQ_odd/8 , timeout; 300.000000, timeout; 300.000000, unknown; 0.020000
./multLibs/EQ_odd/9 , timeout; 300.000000, timeout; 300.000000, unknown; 0.030000
./multLibs/EQ_one/1 , not equiv; 0.820000, not equiv; 0.320000, not equiv; 0.030000
./multLibs/EQ_one/10 , not equiv; 9.490000, not equiv; 8.390000, not equiv; 191.360000
./multLibs/EQ_one/11 , not equiv; 14.560000, not equiv; 19.470000, timeout; 300.000000
./multLibs/EQ_one/12 , not equiv; 18.810000, not equiv; 47.760000, timeout; 300.000000
./multLibs/EQ_one/13 , not equiv; 20.470000, not equiv; 100.790000, timeout; 300.000000
./multLibs/EQ_one/14 , not equiv; 29.080000, not equiv; 213.020000, timeout; 300.000000
./multLibs/EQ_one/15 , not equiv; 24.180000, timeout; 300.000000, unknown; 180.310000
./multLibs/EQ_one/2 , not equiv; 1.190000, not equiv; 0.410000, not equiv; 0.030000
./multLibs/EQ_one/3 , not equiv; 1.450000, not equiv; 0.450000, not equiv; 0.050000
./multLibs/EQ_one/4 , not equiv; 1.810000, not equiv; 0.540000, not equiv; 0.080000
./multLibs/EQ_one/5 , not equiv; 2.320000, not equiv; 0.590000, not equiv; 0.200000
./multLibs/EQ_one/6 , not equiv; 2.960000, not equiv; 0.720000, not equiv; 0.890000
./multLibs/EQ_one/7 , not equiv; 3.760000, not equiv; 1.040000, not equiv; 3.460000
./multLibs/EQ_one/8 , not equiv; 4.920000, not equiv; 1.730000, not equiv; 15.190000
./multLibs/EQ_one/9 , not equiv; 6.550000, not equiv; 3.870000, not equiv; 59.090000
./multLibs/EQ_oneBound/1 , equiv; 0.800000, equiv; 0.340000, equiv; 0.030000
./multLibs/EQ_oneBound/10 , equiv; 17.500000, timeout; 300.000000, unknown; 142.190000
./multLibs/EQ_oneBound/11 , equiv; 19.370000, timeout; 300.000000, unknown; 201.690000
./multLibs/EQ_oneBound/12 , equiv; 21.390000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_oneBound/13 , equiv; 23.900000, timeout; 300.000000, timeout; 300.000000
