Instance Name, CC2 Result, CLEVER Result, Reve Result
./nestedMerge/EQ_oddNEQ_LoopUnreach20/libA , not equiv; 0.483200, not equiv; 0.151300, not equiv; 0.020000
./nestedMerge/EQ_oddNEQ_getSign/libA , not equiv; 0.447300, not equiv; 0.158600, not equiv; 0.020000
./nestedMerge/EQ_oneBoundEQ_LoopMult20/libA , equiv; 0.927600, equiv; 0.495800, timeout; 300.000000
./nestedMerge/EQ_oneBoundEQ_UnchLoop/libA , equiv; 0.311600, equiv; 0.167700, equiv; 0.760000
./nestedMerge/EQ_oneBoundEQ_odd/libA , equiv; 24.092700, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EQ_oneBoundEQ_pos/libA , equiv; 25.521200, equiv; 15.412200, unknown; 0.020000
./nestedMerge/EQ_oneBoundEQ_pos2/libA , equiv; 0.500300, timeout; 300.000000, not equiv; 0.080000
./nestedMerge/EQ_oneBoundEXTRA_ultra_prime_sum/libA , equiv; 142.442100, equiv; 6.777400, unknown; 0.260000
./nestedMerge/EQ_oneEQ_LoopMult20/libA , equiv; 2.684900, equiv; 0.500800, timeout; 300.000000
./nestedMerge/EQ_oneEQ_UnchLoop/libA , equiv; 0.284900, equiv; 0.145800, equiv; 1.060000
./nestedMerge/EQ_oneEQ_odd/libA , equiv; 17.628600, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EQ_oneEQ_pos/libA , equiv; 14.815100, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EQ_oneEQ_pos2/libA , equiv; 0.451500, timeout; 300.000000, not equiv; 0.070000
./nestedMerge/EQ_oneEXTRA_ultra_prime_sum/libA , equiv; 154.329300, timeout; 300.000000, unknown; 0.260000
./nestedMerge/EQ_oneN2EQ_LoopMult20/libA , equiv; 2.679800, equiv; 0.505300, timeout; 300.000000
./nestedMerge/EQ_oneN2EQ_UnchLoop/libA , equiv; 0.286000, equiv; 0.145700, equiv; 1.060000
./nestedMerge/EQ_oneN2EQ_odd/libA , equiv; 13.830400, timeout; 300.000000, unknown; 0.010000
./nestedMerge/EQ_oneN2EQ_pos/libA , equiv; 14.762100, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EQ_oneN2EQ_pos2/libA , equiv; 0.463900, timeout; 300.000000, not equiv; 0.070000
./nestedMerge/EQ_oneN2EXTRA_ultra_prime_sum/libA , equiv; 147.903000, timeout; 300.000000, unknown; 0.260000
./nestedMerge/EQ_pos2EQ_Add/libA , equiv; 0.260900, equiv; 0.144400, equiv; 0.020000
./nestedMerge/EQ_pos2EQ_Const/libA , equiv; 0.268000, equiv; 0.126300, equiv; 0.020000
./nestedMerge/EQ_pos2EQ_LoopMult20/libA , equiv; 0.522900, equiv; 0.157100, equiv; 0.030000
./nestedMerge/EQ_pos2EQ_LoopUnreach20/libA , equiv; 0.537100, equiv; 0.153100, equiv; 0.020000
./nestedMerge/EQ_pos2EQ_UnchLoop/libA , equiv; 0.294600, equiv; 0.126700, equiv; 0.600000
./nestedMerge/EQ_pos2EQ_divide/libA , equiv; 0.365800, equiv; 0.151800, equiv; 0.030000
./nestedMerge/EQ_pos2EQ_getSign2/libA , equiv; 0.468300, equiv; 0.146500, equiv; 0.030000
./nestedMerge/EQ_pos2EQ_is_prime1/libA , equiv; 0.497500, equiv; 0.136100, unknown; 0.020000
./nestedMerge/EQ_pos2EQ_is_prime2/libA , equiv; 0.704800, equiv; 0.167200, unknown; 0.030000
./nestedMerge/EQ_pos2EQ_is_prime3/libA , equiv; 3.238300, equiv; 1.487100, unknown; 0.030000
./nestedMerge/EQ_pos2EQ_ltfive/libA , not equiv; 1.089300, not equiv; 0.254800, equiv; 0.040000
./nestedMerge/EQ_pos2EQ_ltfiveBound/libA , equiv; 0.891400, equiv; 0.263900, equiv; 0.070000
./nestedMerge/EQ_pos2EQ_multiple/libA , not equiv; 1.185600, not equiv; 0.358500, equiv; 0.030000
./nestedMerge/EQ_pos2EQ_multipleBound/libA , equiv; 0.840500, equiv; 0.464600, equiv; 0.040000
./nestedMerge/EQ_pos2EQ_odd/libA , equiv; 24.806400, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EQ_pos2EQ_one/libA , not equiv; 0.976300, not equiv; 0.204100, not equiv; 0.030000
./nestedMerge/EQ_pos2EQ_oneBound/libA , equiv; 0.773000, equiv; 0.254600, equiv; 0.050000
./nestedMerge/EQ_pos2EQ_oneN2/libA , not equiv; 0.984200, not equiv; 0.221800, equiv; 0.030000
./nestedMerge/EQ_pos2EQ_pos/libA , equiv; 23.475000, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EQ_pos2EQ_pos2/libA , equiv; 0.469900, timeout; 300.000000, not equiv; 0.040000
./nestedMerge/EQ_pos2EQ_pos3/libA , equiv; 0.355000, equiv; 0.178200, equiv; 0.030000
./nestedMerge/EQ_pos2EXTRA_ultra_prime_sum/libA , equiv; 141.603300, equiv; 0.192200, unknown; 0.290000
./nestedMerge/EQ_pos2NEQ_LoopMult20/libA , equiv; 0.526700, equiv; 0.154000, equiv; 0.040000
./nestedMerge/EQ_pos2NEQ_LoopUnreach20/libA , equiv; 0.508500, equiv; 0.154700, equiv; 0.020000
./nestedMerge/EQ_pos2NEQ_getSign/libA , not equiv; 0.750800, not equiv; 0.194600, not equiv; 0.030000
./nestedMerge/EQ_pos3EQ_LoopMult20/libA , equiv; 1.150300, equiv; 0.133300, equiv; 0.020000
./nestedMerge/EQ_pos3EQ_UnchLoop/libA , equiv; 40.290900, equiv; 0.125000, equiv; 0.300000
./nestedMerge/EQ_pos3EQ_odd/libA , equiv; 11.370700, equiv; 25.546600, unknown; 0.020000
./nestedMerge/EQ_pos3EQ_pos/libA , equiv; 21.984100, timeout; 300.000000, unknown; 0.010000
./nestedMerge/EQ_pos3EQ_pos2/libA , equiv; 0.323200, timeout; 300.000000, unknown; 0.010000
./nestedMerge/EQ_pos3EXTRA_ultra_prime_sum/libA , equiv; 76.173600, equiv; 0.163800, equiv; 0.090000
./nestedMerge/EQ_posEQ_Add/libA , equiv; 0.259400, equiv; 0.126800, equiv; 0.020000
./nestedMerge/EQ_posEQ_Const/libA , equiv; 0.266800, equiv; 0.127000, equiv; 0.020000
